链接,面积,房屋户型,楼层,房屋朝向,地铁,小区,位置,时间,租赁方式,付款方式,房屋现状,租赁周期,装修描述,小区介绍,学区介绍,核心卖点,周边配套,交通出行,户型介绍,投资分析
http://gz.lianjia.com/zufang/GZ0002159665.html,105平米,4室2厅2卫  整租,中楼层 (共6层),西,距地铁2号线东晓南936米,鸣翠花园5套出租中,海珠工业大道南,114天前发布,整租,暂无数据,暂无数据,暂无数据,精装修， 实用4房， 装修保养好， 干净整洁， 安静望花园， 中楼层,鸣翠花园小区封闭式管理，小区共分四期开发，楼下就是广佛线的石溪站，交通便利,,近地铁 安静舒适 居家,商场]：华润万家、好又多、百佳、国美、女人街商业城4、[银行]：工商、建设、中国、农业、交通银行5、[医院]：中山二院南院、石溪中医院、紫荆医院6、[其他]：麦当劳，肯德基，江南菜馆，鸿星酒家，天宝酒家，鸣翠邮局,"9、13、59、75、79、86、87、180、202、221、230、288,9、13、59、75、79、86、8546、551、 夜7、夜20、夜24(金碧花园站)地铁二号线东晓南站与八号广佛延长线即将开通。",,
http://gz.lianjia.com/zufang/GZ0002045392.html,38平米,1室1厅1卫  整租,高楼层 (共9层),西,距地铁广佛线燕岗710米,保利红棉花园6套出租中,海珠江燕路,148天前发布,整租,暂无数据,暂无数据,暂无数据,装修保养新净 格局方方正正 宽敞明亮 采光极好 厅出阳台 视野好,保利红棉花园位于广州市海珠区江燕路353号，为大型商住小区，占地面积6.8万平方米，总建筑面积24.8万平方米 小区配套：花园 幼儿园 小学 肉菜市场 商业街 食街 电信 邮局 会所 小亭 娱乐健身场地等硬件设施。小区管理 环境清幽舒适 空气清新怡人,,新净实用 交通便利 光线充足,医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院、江南外科医院。 市场：华润万家超市、百佳超市、保利红棉市场、石溪肉菜市场。 银行：中国银行、工商银行、建设银行 农业银行 交通银行 等等,,,
http://gz.lianjia.com/zufang/GZ0002108410.html,76平米,3室2厅1卫  整租,高楼层 (共9层),南,距地铁2号线萧岗1167米,祥华阁2套出租中,白云黄石路,128天前发布,整租,暂无数据,暂无数据,暂无数据,房屋属于精致装修  房屋的装修保养都很好 温馨舒适 朝向好 格局反正,空气清新，环境优美，价格适中。祥景体育公园，占地3万平方米、将绿化、运动、休闲集为一体、为祥景花园的绿色健康生活提供了有力保障。祥景花园有着优质的物业管理，制定了严格的绿化管理制度和清洁卫生管理制度。舒适怡人的绿化、卫生环境，荣获“示范小区”的光荣称号。,,房屋干净整洁 温馨三房家私齐 即可入住,,公车：265、810、36、244、21、127、268、886、291、126、803、832等多路公交车地铁：二号线 江夏站、萧岗站交通方便快捷 为您保证出行无忧,,
http://gz.lianjia.com/zufang/GZ0002172114.html,42平米,1室1厅1卫  整租,高楼层 (共32层),南,距地铁3号线汉溪长隆482米,保利大都汇36套出租中,番禺华南,172天前发布,整租,暂无数据,暂无数据,暂无数据,业主交楼首 次出租，装修标准，品味高 端舒适生活，就从这里开始 干净整洁 目前吉屋 可配家私电 也可直接用做办公用地,周 边有汉溪长隆地铁、公交车站、汉溪长隆游玩场所小区。港润购物广场、人人乐购物广场、百佳、番禺天河城折扣店 (居家购物方便至极)2、 位于小区不 远有周 边银行：农业银行、工商银行、中国银行(投 资理财方便快捷),广东工业大学番禺学校 钟村实验学校 北京师范大学南奥实验学校 南奥实验小学 南奥实验幼儿园,地铁 上盖 交楼装修 随时看房,新一佳购物广场、广汇百货、十八哥超市、华润万家超市、宏城超市、沃尔玛山姆会员店餐饮：长隆欢乐世界、香江野生动物世界、长隆水上乐园、长龙高尔夫、万博商业中 心、御水泉国际水疗会周 边银行：工商银行、建设银行、浦发银行、农业银行,地铁三号线汉溪长隆站 广州南站 番禺大道 市广路 兴业大道 兴南大道 金山大道 新光快速干线 迎宾路 地铁七号线 汉溪大道,,
http://gz.lianjia.com/zufang/GZ0002176802.html,97平米,3室2厅2卫  整租,高楼层 (共34层),东北,距地铁6号线如意坊820米,万科柏悦湾4套出租中,荔湾大坦沙,109天前发布,整租,暂无数据,暂无数据,暂无数据,开发商统一装修，精致装修，业主爱惜房子，保养良好。无明显污渍与渗漏,华润万家，乐家购物商场，日新百货商场，美景百货商场，柏康药店，佳选百货，裕富多平价商场，佳又多好超市,双桥小学，河沙小学，沙面小学分校幼儿园，广雅幼儿园，河沙幼儿园,万科柏悦湾 方正高层,,,开发商统一装修，精致装修，业主爱惜房子，保养良好。无明显污渍与渗漏,
http://gz.lianjia.com/zufang/GZ0002171998.html,61平米,2室2厅2卫  整租,低楼层 (共22层),北,暂无数据,保利大都汇36套出租中,番禺华南,129天前发布,整租,暂无数据,暂无数据,暂无数据,优势一：地理位置好，位于中 心位置，不靠马路近地铁！优势二：通风采光好,,香江学校第一幼儿园、大石镇河村幼儿园、星河湾灵格风幼儿园 中小学：华南师范大学附属中学番禺学校、里仁洞小学、番禺执信中学、北京师苑大学南奥实验学校(私立)幼儿园小学初中部 村奥园学校(公立)幼儿园小学初中部,"有地铁,广州华南版块黄 金地段,边成熟",交通配套设施齐，生活方便，餐饮：长隆欢乐世界、香江野生动物世界、长隆水上乐园、长龙高尔夫、万博商业中 心、御水泉国际水疗会、商店：新一佳购物广场、广汇百货、十八哥超市、华润万家超市、宏城超市、沃尔玛山姆会员店、银行：工商银行、建设银行、浦发银行、农业银行都是你生活的邻居,番109路、303A路、10A路、10B路、109B路、番125路、番52路、番75路汉溪长隆公交站总站 地铁3号线汉溪长隆还有即将开通的7号线,1.户型方正，阳台空气流动性强2.最引人人的亮点：视野开阔，华南板块稀有3.可利用性高，性价 比高,
http://gz.lianjia.com/zufang/GZ0002171748.html,56平米,1室2厅1卫  整租,低楼层 (共22层),南,距地铁7号线南村万博445米,敏捷上城商务中心二期2套出租中,番禺华南,112天前发布,整租,暂无数据,暂无数据,暂无数据,业主新装修 复式公寓 客厅宽敞明亮 有独立房间 也可做办公使用。,,,双地铁 交通方便 新装修 家私家电齐,商场超市沃尔玛(海印又一城店)(番禺区迎宾路海印又一城购物(近凯迪拉克专卖店))、正佳超市(南村镇里仁洞新兴大道)、信华购物广场(广州市番禺区)、新一佳(番禺锦绣香江店)(锦绣香江花园紫荆雅园cd栋商业大厦)、杰兴百货商场(南村镇兴业大道247号),交通公交华南碧桂园(129路;302路;303路;987路;番143路;番145路;番146路;番163路;番186路;番190路;番禺70路;公交地铁接驳专线9路;夜88路)、兴业路口(番10路;番186路;番禺70路;公交地铁接驳专线9路)、,,
http://gz.lianjia.com/zufang/GZ0002167192.html,216平米,5室2厅3卫  整租,高楼层 (共33层),北,距地铁5号线动物园408米,润粤大厦3套出租中,越秀水荫,124天前发布,整租,暂无数据,暂无数据,暂无数据,"现有租客办公，保养一般，五房两厅三卫两阳台，厅和卧室都是飘窗，有生活阳台,办公装修,商住两用.",该小区位于环市东路和天河路交间处，地理位置很好，交通很方便，地铁沿线，小区24小时的保安值勤，该小区里面的房子实用率很高，有86%以上，而且间隔也很实用，现在这小区里面的，还有省级东风东小学，南向望环市东路，北向水荫路这边，也比较安静！,,顶层复式 商住两用,广州动物园、东风公园；越秀区圣亚医院、广州解放军第458医院、广空司令部医院、白云区人民医院；天河城、正佳广场、维多利广场、时代广场；华润万家,公交：天河立交站、水荫路站、广州大道中站，地铁：五号线动物园站,,
http://gz.lianjia.com/zufang/GZ0002173436.html,87平米,1室1厅1卫  整租,低楼层 (共16层),西北,距地铁2号线南浦1149米,丽江花园左岸5套出租中,番禺南浦,111天前发布,整租,暂无数据,暂无数据,暂无数据,"装修保养新净,电梯高层，阳台 安静舒适，望美景，家私家电齐，拎包入住",,,精致房源 重新装修 保养很好,学校：丽江公立小学(中学)广州大学城 莱恩中英文学校 洛溪新城学校幼儿园：儿童活动 莱恩中英文幼儿园 私立幼儿园数8间商场：宏城超市 百佳超市 福特玛超市市场：农家菜市场邮局：中国邮政银行：建设银行 中国银行 工商银行医院：丽江花园医务所，大石人民医院,丽江花园坐拥双地铁(2号线南浦站和3号线夏滘站)小区里面数条公交车穿梭(有125路、122路、接驳5号、186路、79路、夜13路等)，直达广州各城区 方便快捷！,,
http://gz.lianjia.com/zufang/GZ0002174305.html,41平米,2室1厅1卫  整租,中楼层 (共8层),南,距地铁3号线大石848米,富丽家园百丰楼3套出租中,番禺大石,111天前发布,整租,暂无数据,暂无数据,暂无数据,房子装修很不错，南向单位 ，房子地处繁华的大使阶段，适合的人群多，而且房子采光好,,,地处繁华阶段 生活很方便,大石城，步行街，大石家私城，民润超市，信和超市，天和百货，人人乐等多个大型超市。,"地铁3号线,1、7、13、17、51、211、247、288、301、305、308、309、512、530、562等等。",,
http://gz.lianjia.com/zufang/GZ0002178518.html,100平米,3室2厅1卫  整租,低楼层 (共11层),东南,距地铁广佛线燕岗1121米,保利花园保康路3套出租中,海珠工业大道中,129天前发布,整租,暂无数据,暂无数据,暂无数据,家私家电齐，而且保养新，房屋整体环境温馨别致，瓷砖墙面干净整洁,小区环境优美，面对工业大道同类楼盘的竞争，开发商力求尽善尽美，从而奠定其在海珠区乃至广州大盘的地位。内设：花园 幼儿园 会所 小亭 泳池 娱乐健身场地等硬件设施。环境清幽舒适 空气清新怡人,保利幼儿园、海富幼儿园、江南大道南幼儿园、保利百合幼儿园、保利花园幼儿园、保利红棉小学、晓园中学、广州市98中学、,保利花园 电梯三房 家私家电齐 拎包入住,医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院、江南外科医院。市场：华润万家超市、百佳超市、保利红棉市场、石溪肉菜市场。银行：中国银行、工商银行、建设银行 农业银行 交通银行,"交通方便保利花园(南石头)-公交车站(521路-527路)地铁广佛线(燕岗)站2号线江泰路站途经公交车：79路, 288a路, 309路, 469路, 521路, 527路 180路 31路 29路 220路 221路 等等",,
http://gz.lianjia.com/zufang/GZ0002176757.html,123平米,3室2厅2卫  整租,高楼层 (共17层),东,距地铁6号线河沙805米,珠岛花园17栋4套出租中,荔湾大坦沙,195天前发布,整租,暂无数据,暂无数据,暂无数据,该房屋保养良好，电梯高层，复式单位，三房两厅两卫，既有江景又有园景，拎包入住。,,,交通便利 望江复式,家乐福超市、万家超市、太佳广场、国昇百货、河沙菜市场、广州酒家、金半岛酒家、人山人海园林酒家,128、256、783、416(环岛线)、坦尾站(5、6号线换乘站)、河沙站(6号线)。,,
http://gz.lianjia.com/zufang/GZ0002183841.html,114平米,3室2厅2卫  整租,高楼层 (共6层),南,暂无数据,绿庭雅苑4套出租中,番禺沙湾,108天前发布,整租,暂无数据,暂无数据,暂无数据,该房子是精装修，业主保养得很好，格局方正，家私电器保养不错。,,小区：会所、幼儿园、运动场所商场：信和超市、明超超市医院：番禺区人民医院、何贤医院银行：中国银行、中国工商银行、中国农业银行、农村信用合作社,精装修  精致三房  家私电齐,,公交车：百越广场站，途径线路包括5路、9路、12路、18路、19路。130地铁站：地铁3号线市桥站。自驾车：新光快速。,,
http://gz.lianjia.com/zufang/GZ0002180861.html,40平米,1室1厅1卫  整租,低楼层 (共36层),东,距地铁5号线淘金443米,保利中环广场9套出租中,越秀建设路,211天前发布,整租,暂无数据,暂无数据,暂无数据,房屋装修是以前交楼靓装修，房子高质量地板砖铺设，乳白色墙面。房屋干净，大房大厅，厅出阳台，采光好。,,有：建设大马路小学、建设六马路小学、环市路小学。广大附中、二十一中、执信中学等。,好地段 交通方便 生活配套,配套：楼下就有吉之岛大型购物超市，各大品牌服装店，保利影院，星巴克，茶餐厅，温祈福酒家等等，齐备。,,,
http://gz.lianjia.com/zufang/GZ0002183670.html,97平米,2室2厅1卫  整租,低楼层 (共36层),东,距地铁5号线淘金443米,保利中环广场9套出租中,越秀建设路,211天前发布,整租,暂无数据,暂无数据,暂无数据,房屋装修是以前交楼，房子地板砖铺设，乳白色墙面。房屋干净，大房大厅，厅出阳台，采光好。,保利中环广场管理，来访人员出入需登记。C座单位3梯7户。六楼带有空中花园，空气环境好，有部分娱乐设施。,,家电齐 拎包入住,配套：楼下就有吉之岛大型购物超市，各大服装店，保利影院，星巴克，茶餐厅，温祈福酒家等等。,,,
http://gz.lianjia.com/zufang/GZ0002183669.html,80平米,2室2厅1卫  整租,中楼层 (共32层),北,距地铁2号线南洲810米,金碧花园第三金碧68套出租中,海珠金碧,204天前发布,整租,暂无数据,暂无数据,暂无数据,本人亲自看过 简单装修 干净整洁  卫生间干湿分离，拎包入住 室内居家精装修，保养干净舒适，客厅装饰显得房子特温馨，采光通风好,"恒大地产开发的，物业为金碧物业，楼间距较大的大型楼盘。社区里面的生活配套很完善，1.小区楼龄(2003年),目前已有12年楼龄2.金碧花园一期属于大型高层住宅小区，小区环境优美，娱乐设施配套完善，",带金碧一小学，对接三幼幼儿园。学校有：金碧一小学，一幼，二幼，三幼，97高中部。,金碧三期 安静望花园 厅直出 温馨两房,银行，力美健健身房 。餐饮娱乐如金碧大世界，ktv， 肯德基，小区门口150米处就是加油站,公交线路(金碧花园门口)：5路·35路·70路·82路·125路·129路·129A路·236路·273路·67路·路·812路·780路·地铁：(1)2号线东晓南站，步行10分路程(C1、C2、A、B、出口) (2)广佛线石溪站，步行仅2分路程，实现广佛同城的理念,,
http://gz.lianjia.com/zufang/GZ0002184073.html,82.26平米,2室2厅1卫  整租,高楼层 (共33层),南 北,暂无数据,中铁荔湾国际城6套出租中,荔湾龙溪,108天前发布,整租,暂无数据,暂无数据,暂无数据,"精致装修,客厅地面铺地砖,房间地面铺实木地板,厅出阳台，墙面刷白色乳胶环保漆.采光通风极好。",位于荔湾区芳村的龙溪东路原高尔夫球场地块，小区共有九栋黑色外立面，总层高32-33层的电梯洋房，24小时视频监控，管理费2.8元/月，小区内部配有1400㎡商业配套、5.8米架空层泛会所、滨江高尔夫主题花园、老人康乐、幼儿园、无边际跌水泳池、地下停车场,,少有户型 电梯两房 业主诚信出租,医疗：荔湾区人民医院、荔湾区妇幼保健院、广州芳村区第二人民医院、广州鹤洞骨科医院、邮局：芳村花园邮局银行：工商银行、广州银行、广州农商银行、交通银行、广州商业银行、农业银行 肉菜市场：东漖肉菜市场餐饮配套：竹溪酒家,"交通信息：207、383、966、782 等几路公交车途经。地铁：地铁1号线坑口站,广佛线菊树站。",该单位为电梯2房1厅单位，科学布局，方正实用，空间宽敞，采光通透，通风对流，开阳明亮,
http://gz.lianjia.com/zufang/GZ0002183946.html,64平米,1室1厅1卫  整租,低楼层 (共30层),南,距地铁8号线赤岗545米,纵横国际公寓9套出租中,海珠赤岗,168天前发布,整租,暂无数据,暂无数据,暂无数据,该物业是位于纵横公寓，是新装修的物业，房子采光通透，装修保养好，温馨物业,纵横国际公寓占地30000平方米，总建筑面积约130000平方米，由4栋33层的高层住宅建筑组成，绿化覆盖率为37%,,交通方便 位置安静 交通方便,,交通：地铁八号线(赤岗站)公交赤岗站、赤岗东站，139路、14路、189路、206路、20路、229路、252路、262路、264A、270路、304路、37路、505路,,
http://gz.lianjia.com/zufang/GZ0002179465.html,93平米,3室1厅1卫  整租,中楼层 (共31层),东北,距地铁1号线东山口122米,百好居3套出租中,越秀东山口,108天前发布,整租,暂无数据,暂无数据,暂无数据,"业主几年前的住家装修，通风采光不错，交通方便 电梯三房 通风采光不错,适合住家。",,教育配套：广铁一小、东风东路小学、农林下路小学、育才中学、广州市第七中学、十六中学、培正中学、执信中学等,交通还行 电梯三房 通风采光不错,教育配套：广铁一小、东风东路小学、农林下路小学、育才中学、广州市第七中学、十六中学、培正中学、执信中学等,公交：16路、63路、83路、221路、223路、247路、285路、287路、517路、535路、542路 地铁：1号线和6号线东山口站,,
http://gz.lianjia.com/zufang/GZ0002186411.html,42平米,1室1厅1卫  整租,中楼层 (共5层),南 北,距地铁1号线西门口924米,商业新村1套出租中,越秀东风西,220天前发布,整租,暂无数据,暂无数据,暂无数据,该单位带有新净装修 家私电器齐 正规一房一厅 大院管里 拎包入住,,,正规一房 大院管理 配套成熟 旺中带静,,该单位附近有东风西路站 人民北路站 流花路站 西门口地铁站（步行15分钟以内）,该单位是正规一房一厅 长形间隔 进门左手边就是厨房卫生间 方正客厅6个平方左右 卧室比较大10个平方左右带自然窗。,
http://gz.lianjia.com/zufang/GZ0002186429.html,63平米,1室1厅1卫  整租,高楼层 (共4层),北,距地铁1号线芳村1095米,嘉茗华庭2套出租中,荔湾芳村大道,109天前发布,整租,暂无数据,暂无数据,暂无数据,房型方正通透，通风采光好，楼层好，实用率高，业主保养新颖，商住两相宜,位于芳村大道中路，山村车站旁边，条形砖外墙，总高26层。毗邻如意阁、祥泰楼、万盛苑等石围塘居住小区。周边配套设施一应俱齐。,,嘉茗华庭 方正一房一厅 交通方便,,地铁1号线芳村站 公交193路 19路 202路 206路 207路 236路 277路 309A 312路 411路 414路 52路 55路75路 91路 等,,
http://gz.lianjia.com/zufang/GZ0002186401.html,61平米,1室1厅1卫  整租,低楼层 (共21层),西,距地铁3号线北延段林和西658米,侨怡苑6套出租中,天河体育中心,132天前发布,整租,暂无数据,暂无数据,暂无数据,经典住家装修，装修保养一般，通风采光好。安静舒适、面积很实用,侨怡苑小区位于天河区位于天河区天河北路，西倚中信广场，南瞰天河体育中..心，地理位置。广州火车东站、地铁站咫尺相邻，数十条公交线路往来市区，交通便捷通畅。套内设计合理，通风采光良好,,舒适两房 家私齐 拎包入住,◆教育:华阳省一级小学 中怡幼儿园 ◆医疗:天河妇幼医院 ◆市场:远洋小区市场，中信购物广场，火车东站吉之岛大型购物商场，便利店等 ◆购物:吉之岛，天河城，等各类大型商场 ◆运动:体育、小区内设有运动设施。,该房交通便利，楼下就是天河北公交站，有几十条线路到广州各地。旁边的体育中..心地铁站步行5分钟可到，地处天河北区，拥有四通八达的交通网，十分便利，近地铁1号，3号线,,
http://gz.lianjia.com/zufang/GZ0002186407.html,37平米,2室1厅1卫  整租,高楼层 (共9层),南 北,暂无数据,阳光花园2套出租中,白云同德围,110天前发布,整租,暂无数据,暂无数据,暂无数据,户型方正 两室一厅 南北对流 小区装了管道煤气  新装修 保养新净 看房子需要提前约业主,阳光花园在白云区同德175、176车总站，坐公交车在阳光花园站下车即到(车站就在家门口)，粉红马赛克外墙，小区管理，交通购物都比较方便,,阳光花园 小区内有花园,,17. 228. 527. 259. 424 175 176 212 238 .524交车到(西槎路)槎头站或槎头阳光花园站,,
http://gz.lianjia.com/zufang/GZ0002186425.html,211平米,3室2厅2卫  整租,高楼层 (共43层),南 北,距地铁8号线鹭江962米,中信君庭4套出租中,海珠滨江东,109天前发布,整租,暂无数据,暂无数据,暂无数据,采光通风好 业主诚心放卖 格局方正  实用单位 增值空间高 新净装修 交通便利 周边配套设施齐,该小区人文素质高 交通便利 周边配套设施齐 增值空间高 交通便利 中等小区 格局实用方正,,格局方正 实用单位 增值空间高,该小区人文素质高 交通便利 周边配套设施齐 增值空间高 交通便利 中等小区 格局实用方正,,,
http://gz.lianjia.com/zufang/GZ0002185297.html,59平米,2室1厅1卫  整租,中楼层 (共8层),南,距地铁2号线广州火车站638米,交易会宿舍1套出租中,越秀人民北,109天前发布,整租,暂无数据,暂无数据,暂无数据,该单位装修保养新净，屋内家电齐，进屋子感觉非常舒适。业主诚意出租，期待好租客来电。,,,配套完善，拎包入住,超市：好又多；银行：工商银行，建设银行，平安银行；邮局：中国邮政。医院：广钢医院;公园：流花湖公园。,"地铁：五号线西村站，广州火车站，二号线越秀公园站；公交；流花路站-181路/广231路/181,站前横路站-广231",,
