用户,评论,时间
60473499,那是因为只是第一季,2017-04-11 11:48:22
517224489,好酷，第二季快快来[流泪],2017-04-11 10:17:51
542313379,谁有VIP，借我下,2017-04-11 10:17:34
542313379,有VIP么,2017-04-11 11:35:01
239112082,我有,2017-04-11 10:21:03
77630475,片头曲很像有点甜,2017-04-11 10:15:05
27239912,我讨厌现在的电视剧，明明是一部还得分几部来放。比如恶魔少爷别吻我都两部了，大唐荣耀也两部了。还有这狐狸的夏天也是一样吧，下部什么时候出？电视剧下次还要搞些什么花样吊人胃口？,2017-04-11 10:14:46
550870421,,2017-04-11 10:13:13
524234361,男主咋么头歪嘴歪的,2017-04-11 10:11:56
496967794,总裁那下巴垫得也是醉了,2017-04-11 10:15:41
543237970,第二季什么时候才能上演呀！好期待呀！,2017-04-11 10:09:37
310263574,[呲牙][呲牙][呲牙],2017-04-11 10:09:00
145061304,请问哪位大神知道片尾的卡通人物图片在哪里可以找到[流泪][流泪],2017-04-11 10:07:21
554229885,急啊！谁能借我啊？,2017-04-11 10:05:47
554229885,好的，谢谢,2017-04-11 11:06:14
553769871,我有,2017-04-11 10:15:00
77405668,vip借我用哈，可以吗？,2017-04-11 11:17:18
549690586,,2017-04-11 10:11:13
317924455,超爱姜潮[爱心],2017-04-11 10:00:56
334024436,什么啊没结局,2017-04-11 09:59:39
432825414,好帅啊,2017-04-11 09:58:54
191773880,这是什么？演到一半没有了,2017-04-11 09:58:49
60473499,第一季而已,2017-04-11 11:49:11
65417596,总裁萌萌哒,2017-04-11 09:58:23
403889068,,2017-04-11 09:56:59
541253809,还行,2017-04-11 09:52:33
529758364,,2017-04-11 09:50:21
554221626,每天都要看下更新没有！啥时候出22？,2017-04-11 09:48:52
171777836,好看，一股气看完了所有集，有点后悔了，早知道该留着点，期待快出第二季,2017-04-11 09:48:35
430944134,唉😔期待第二季,2017-04-11 09:48:14
120632255,第二季什么时候[流泪][流泪][流泪],2017-04-11 09:47:55
498150855,很喜欢看，喜欢谭松韵，看了开始就觉得这部剧很有趣，喜欢这类型的电视剧,2017-04-11 09:46:38
492142630,好期待第二部！希望早点更新[委屈][委屈][委屈],2017-04-11 09:45:06
552484283,好会发广告语诱惑,2017-04-11 09:44:32
93653240,这个小女孩遭受多大的心里创伤呀！！！好让人心疼,2017-04-11 09:44:24
283167310,什么时候放第二季啊,2017-04-11 09:43:55
250791279,好看，就是太少集了,2017-04-11 09:43:11
413527899,男主角不是有测谎技能吗？？为什么朱丹撒谎就测不出来？？？？？？？？？？？？？？难道只对女主角有用？？？,2017-04-11 09:43:06
64762333,丑的一批,2017-04-11 09:38:28
193237899,你有多漂亮？,2017-04-11 10:14:26
277982484,你漂亮你来演,2017-04-11 09:55:59
313825996,导演 真的赶紧播 我们赞同楼上 很忙的 等你播 我可能到时候就想不起这个剧了 好看但不是能记住的类型 适合一下子火 总结就是快点播,2017-04-11 09:36:10
548790988,谁有VIP借一下呗，,2017-04-11 09:32:16
311306609,可以找你买哦哦,2017-04-11 12:14:29
548494076,自制的么,2017-04-11 09:30:16
554211412,什么时候才有第二季呢？第一季看完,2017-04-11 09:29:30
63346299,快来第二季呀,2017-04-11 09:28:50
283167310,有第二季来的时候不知道什么时候了,2017-04-11 09:42:38
549104191,,2017-04-11 09:20:15
552022266,很好看呀快来看呀！,2017-04-11 09:19:14
547535756,谁有VIP啊！,2017-04-11 09:18:47
300304942,为谭松韵而来。好可爱,2017-04-11 09:16:42
492685295,挺好看的,2017-04-11 09:15:33
526608045,呵呵,2017-04-11 09:13:32
432089280,看你以后还撒谎,2017-04-11 09:13:10
227814651,好久演第二季哦？,2017-04-11 09:10:49
450874711,坐等第二季[酷][酷][酷][酷][酷][酷][酷][酷][酷][酷],2017-04-11 09:10:47
541095017,,2017-04-11 09:06:53
553372918,[调皮][调皮],2017-04-11 09:05:32
286576826,,2017-04-11 09:04:53
474997699,第一季我都看完了，好有意思哦，第二季什麼時候播啊,2017-04-11 08:58:05
428096810,要vip的，点赞私我哈,2017-04-11 08:57:59
311306609,可以找我下单哦哦,2017-04-11 12:15:21
554248849,可以借我吗[可怜][可怜][玫瑰][玫瑰],2017-04-11 12:03:44
544053859,借我看看呗,2017-04-11 10:07:21
554213543,能借一下吗,2017-04-11 09:33:49
554207558,能借用下吗？,2017-04-11 09:22:54
547535756,可以借我吗，,2017-04-11 09:20:14
424088687,借一下呗,2017-04-11 09:16:30
223848618,你打王者吗？,2017-04-11 10:54:32
255770511,这是韩剧？？？求回答,2017-04-11 08:57:02
193237899,谭松韵，姜潮不认识？？,2017-04-11 10:15:49
554206508,不是韩剧啊，标准的国产剧，真的特别好看,2017-04-11 09:19:52
534895387,不会是就这样结局了吧,2017-04-11 08:54:25
534895387,能更快点么,2017-04-11 08:52:31
136906211,什么时候第二部出来，没有结尾,2017-04-11 08:51:13
225889069,有这么好看吗，刚开始播就二点几亿播放量，看来是有点意思,2017-04-11 08:49:00
229639151,喜欢谭松韵的点个赞看看有多少个个喜欢😊😊,2017-04-11 08:48:42
229639151,五个赞可以吗,2017-04-11 08:51:20
506349370,本人已看完了，静等第二季[微笑],2017-04-11 08:47:37
534895387,在那个网址看的，这么快看完,2017-04-11 08:53:11
521098992,又有两部？,2017-04-11 08:48:46
263329349,要VIP的来哦,2017-04-11 08:46:19
311306609,可以找我下单VIP喽,2017-04-11 12:17:37
554248849,可以借我吗[可怜][可怜][玫瑰][玫瑰],2017-04-11 10:48:05
109283645,亲，借我看哈得,2017-04-11 10:02:57
554194325,您好，请问能借用一下您的VIP吗？如果需要，可以分担部分会费，谢谢您,2017-04-11 09:18:24
311306609,我有，要不你帮我分担一下喽[偷笑],2017-04-11 12:16:45
552056053,我我,2017-04-11 09:00:56
554198648,啊啊我[流泪],2017-04-11 08:52:58
554196867,第一季一共多少集啊！,2017-04-11 08:45:48
554201141,21集,2017-04-11 09:03:00
149107254,19分钟打电话能不能打好点。锁都没解就接电话了，我的天,2017-04-11 08:43:33
546504933,NMR,2017-04-11 08:42:11
529210902,快点出第二季，等不及要看了,2017-04-11 08:40:50
433060778,这是灵魂摆渡人里面的房子,2017-04-11 08:40:21
231208019,好期待,2017-04-11 08:40:16
152185019,已看完，期待第二部,2017-04-11 08:39:14
547195206,第二季,2017-04-11 08:38:07
386164223,我就进来说一句，船戏个毛线，你吃了？,2017-04-11 08:36:43
554194308,,2017-04-11 08:35:27
393822067,第二季什么时候播出啊！中毒太深奥～～～～～,2017-04-11 08:35:24
408449986,好看,2017-04-11 08:34:54
103319615,怎么不认识男主角,2017-04-11 08:34:09
527977512,,2017-04-11 08:31:51
236836272,此剧真的有毒，我都看完两天了结果还恋恋不舍重看了一遍[得意],2017-04-11 08:29:23
223848618,那是你没vip只是重看😂😂。老铁没毛病😂😂,2017-04-11 10:59:24
526250511,应该有第二季吧，好好看呀，希望赶快出来,2017-04-11 08:26:55
457769698,我怎么感觉没结局呢,2017-04-11 08:20:58
60473499,第一季而已还有2,2017-04-11 11:52:12
306090852,我只想知道第二部什么时候开始,2017-04-11 08:20:44
202705944,第二季啥时候开始，好好看哦[微笑][微笑],2017-04-11 08:16:55
82556324,mmffgfgonm,2017-04-11 08:15:15
82556324,。。i。y y co 。 p,2017-04-11 08:14:59
554189429,刚开始看，喜欢那个女主，应该是女主哈哈,2017-04-11 08:14:59
193237899,我女神谭松韵,2017-04-11 10:17:09
82556324,你难过0”,2017-04-11 08:14:42
273974093,第二季什么时候播？,2017-04-11 08:12:25
442213650,我老公是姜潮你们知道吧,2017-04-11 08:10:12
397391892,什么时候更新是不是星期五又更新一集,2017-04-11 08:02:49
223848618,你想多了,2017-04-11 10:55:32
514434827,,2017-04-11 08:01:30
421346775,才刚刚以后V,2017-04-11 07:55:26
538288891,好看,2017-04-11 07:54:04
546771009,赞赞赞👍,2017-04-11 07:53:43
78836554,好喜欢电视情节,2017-04-11 07:50:18
459790884,让我们来看装逼的嘛,2017-04-11 07:49:41
544979099,,2017-04-11 07:42:47
513213213,,2017-04-11 07:42:33
515162150,女主的衣服漂亮,2017-04-11 07:42:19
148979219,第二季什么时候开始？好喜欢啊,2017-04-11 07:40:16
504649671,没有结局吗,2017-04-11 07:38:45
502034842,VIP才能看 你这让穷人怎么办,2017-04-11 07:38:20
280794864,穷人也可以看,2017-04-11 08:01:41
300826683,哥有汁源,2017-04-11 07:47:37
378086856,看完啦，期待第二季的到来，么么哒！,2017-04-11 07:37:46
405081025,第二季什么时候开播,2017-04-11 07:36:43
279659725,看了恋恋不忘的。我都不是喜欢看剧的人都用流量看完了。。,2017-04-11 07:36:26
279659725,好看。,2017-04-11 07:35:38
346051171,男主的鼻子好奇怪啊,2017-04-11 07:34:26
554180046,[色],2017-04-11 07:29:27
536573830,狐狸的夏天,2017-04-11 07:26:17
527301700,狐狸,2017-04-11 07:25:23
254662214,好看,2017-04-11 07:22:37
342716907,看完了，还有续集吧？感觉没演完，结局不咋的,2017-04-11 07:22:04
508585665,好看,2017-04-11 07:21:50
274816728,觉得他俩配一脸的，点赞\(≧▽≦)/,2017-04-11 07:16:19
537851758,浪费钱的电视剧,2017-04-11 07:13:07
193237899,你能行你去演,2017-04-11 10:18:06
300826683,不看别BB,2017-04-11 07:48:49
88981187,停不下来了,2017-04-11 07:11:20
88981187,太好看了,2017-04-11 07:10:58
277593469,韩七录,2017-04-11 07:09:53
277593469,莫昕薇,2017-04-11 07:09:43
277593469,李宏毅,2017-04-11 07:09:34
161064313,[尴尬],2017-04-11 07:07:31
89114108,没有大结局啊,2017-04-11 06:57:17
310604302,期待第二部,2017-04-11 06:56:18
540739234,狐狸的夏天,2017-04-11 06:47:50
530664500,好看,2017-04-11 06:45:08
84004224,什么时候更新呀！,2017-04-11 06:43:58
554172356,Vc c. Zxz|_\./2/ bfs. V. A a.}(,2017-04-11 06:43:40
28445276,我怎么一看就想吐水和我一样的,2017-04-11 06:39:35
193237899,谭松韵和姜潮拉你去看了？,2017-04-11 10:18:55
279659725,不想看不勉强。谢谢,2017-04-11 07:38:17
538229455,我已经看完了，还不错，挺好看的,2017-04-11 06:39:24
296399513,看来又是好剧,2017-04-11 06:38:19
319473155,还有艾玛在这里面啊！,2017-04-11 06:38:01
300826683,女二,2017-04-11 07:49:50
554060945,还不错,2017-04-11 06:36:54
461256942,是看傻了吧？,2017-04-11 06:34:18
548958339,好看吗，这部剧,2017-04-11 06:28:05
244446525,是不是还有第二部啊,2017-04-11 06:12:05
546247870,视频,2017-04-11 06:11:25
41338597,小说名字叫啥,2017-04-11 06:03:37
533777580,歌曲好听,2017-04-11 05:56:06
34372422,看看,2017-04-11 05:42:01
301041754,男二 是宁亲王！！,2017-04-11 05:35:50
554165124,姜潮好帅[色][色],2017-04-11 05:35:30
329051574,还有第二季吗？,2017-04-11 05:04:36
279479013,熬夜全看完了，结局，嗨！,2017-04-11 04:17:42
389598942,导演真会选演员，那个君瑶又丑又恶毒，这种女人那里找来的。。。。,2017-04-11 04:14:24
424361044,只能说她没有演上主角，看过(守护丽人)跟这她的性格很像，不过我刚看不知道人品怎么样,2017-04-11 05:30:45
397459603,第二季什么时候开始呀😄,2017-04-11 04:13:26
554161035,还有第二季吗？,2017-04-11 04:09:01
96305265,熬夜看完,2017-04-11 03:44:39
532042802,,2017-04-11 03:30:11
273019510,好看。 好看 超喜欢谭松,2017-04-11 02:57:48
162905220,感觉女主长得有点像李易峰,2017-04-11 02:31:33
193237899,女主是我女神,2017-04-11 10:20:29
300826683,李易峰那个僵尸脸，演戏就一个表情和女主哪里像?,2017-04-11 07:52:43
300826683,你在逗我?,2017-04-11 07:51:27
537414501,希望第二季快来，与我暑假同乐,2017-04-11 02:31:05
553677628,这样的企业不破产没天理，好剧难寻,2017-04-11 02:30:16
490671766,太好看了吧😄,2017-04-11 02:26:32
38113752,快快播第二季要不然隔开了就没追剧了！,2017-04-11 02:25:31
552973769,无聊到看这些没有营养的偶像剧,2017-04-11 02:13:15
193237899,谁拉着你看了？,2017-04-11 10:21:06
554154247,第二季啊，快播啊……,2017-04-11 02:13:05
492398517,才出来的时候我就半夜追完了 啥时候更新第二季呀 第二季肯定很宠很宠,2017-04-11 02:12:13
530634011,啥时候更新啊，,2017-04-11 07:55:39
300826683,第二季准备虐心吧!备好纸巾,2017-04-11 07:54:06
208817705,希望第二季很快就出来，不要等兴致都没了才出来[呲牙][呲牙][呲牙],2017-04-11 02:11:23
529936802,耿耿于怀[呲牙],2017-04-11 01:59:46
532026785,什么电视台？？？,2017-04-11 01:55:58
459549148,,2017-04-11 01:49:18
554151513,赶快播第二季吧,2017-04-11 01:45:04
179120443,什么时候播放下集,2017-04-11 01:41:08
146225220,没人看见那个劳斯莱斯标志吗,2017-04-11 01:37:20
554150743,借VIP用用,2017-04-11 01:37:02
216387356,第二季多会更新啊,2017-04-11 01:37:01
192618411,普通卡东西,2017-04-11 01:31:01
521006939,男神啊,2017-04-11 01:28:32
169859787,第二季什么时候播放啊？？,2017-04-11 01:26:52
113234249,总裁的宝马车牌居然是这么的666,2017-04-11 01:26:16
553162479,想赶紧看第二季的举个手！,2017-04-11 01:25:44
69402886,什么时候还有啊[呲牙][呲牙],2017-04-11 01:25:06
477060442,,2017-04-11 01:25:04
554147252,第一季刚看了，第二季等待中[亲亲][亲亲],2017-04-11 01:24:38
334229413,刚刚看完又忍不住了想看的一集。我去。.....,2017-04-11 01:23:09
554148628,第二季什么时候播呀,2017-04-11 01:18:59
293997459,好看,2017-04-11 01:14:11
551568465,,2017-04-11 01:11:49
138890883,女主就是甄嬛传淳贵人 没人认出来吗？,2017-04-11 01:11:41
193237899,就是奔着谭松韵看的，，，,2017-04-11 10:22:34
279659725,范晓莹不就是耿耿吗。哈哈,2017-04-11 07:39:47
170055726,淳贵人不就是范晓莹吗？,2017-04-11 02:44:44
462966221,21集结局了吗？？,2017-04-11 01:11:14
279659725,没结局还有第二季,2017-04-11 07:40:00
554107476,借一下VIP,2017-04-11 03:32:19
554147498,帅,2017-04-11 01:11:14
524764551,看见君桃这死样子，妈的,2017-04-11 01:09:27
504836576,霸道总裁的戏太好，我喜欢,2017-04-11 01:03:43
126875693,第一集都是那么狗血,2017-04-11 00:58:36
279659725,越往后越好看奥亲,2017-04-11 07:40:21
47231736,女二是锦绣未央的君桃唉,2017-04-11 00:54:03
547837991,哈哈,2017-04-11 00:51:55
482451769,,2017-04-11 00:49:16
414787758,好搞笑,2017-04-11 00:48:36
416031798,我有全集，谁要,2017-04-11 00:48:14
554248849,我要[玫瑰][玫瑰],2017-04-11 12:18:34
554247542,我要,2017-04-11 10:45:01
336387209,借我啊,2017-04-11 06:49:47
243227163,我,2017-04-11 02:34:32
471473634,我要,2017-04-11 01:48:46
527537237,借我VIP可以吗？[冷汗],2017-04-11 01:33:56
527537237,我也要😘,2017-04-11 01:30:47
162902511,我要,2017-04-11 01:09:24
554146365,我要,2017-04-11 01:03:27
552503610,,2017-04-11 00:47:32
521981778,女主太丑,2017-04-11 00:45:26
193237899,你有多漂亮？,2017-04-11 10:25:09
552408803,想看看您的倾世容颜。,2017-04-11 00:49:34
276095441,赞你一千次,2017-04-11 01:34:52
504836576,赞你一百次,2017-04-11 01:02:44
59947302,真心好看,2017-04-11 00:45:10
175703056,我就想知道第二季是什么时候有？！想知道的顶我上去,2017-04-11 00:45:08
532157801,谁VIP可以借一下😘😘,2017-04-11 00:43:22
279659725,支持正版，谢谢,2017-04-11 07:40:59
288756563,不用VIP也可以,2017-04-11 01:26:40
288756563,可以下载个QQ浏览器,2017-04-11 01:26:15
554144219,我有啊,2017-04-11 00:50:31
554142846,借个VIP呗,2017-04-11 00:42:48
362659979,谁要可以找我，我这里比管房便宜哦,2017-04-11 02:02:34
416031798,我有，可以找我啊,2017-04-11 00:47:21
357067706,这里面的造型对比一部分电视剧真的是良心啊。终于有个审美正常的造型，而且衣服看着也没那么劣质了，除了女主的包丑点儿。。而且这个女主演的太自然了，，看好韵宝宝。女二的造型服装再好都挽救不了她，美瞳也浪费了。，,2017-04-11 00:41:57
313662841,女猪脚好丑,2017-04-11 00:41:24
495508717,狐狸的……,2017-04-11 00:41:13
89732050,赶快播第二季吧,2017-04-11 00:40:54
100648709,谁要vip？,2017-04-11 00:40:04
311306609,可以找我,2017-04-11 12:22:02
527537237,我我我[愉快],2017-04-11 01:32:52
14294936,我要,2017-04-11 01:31:53
287094179,我要,2017-04-11 00:42:40
90810427,车牌号无敌,2017-04-11 00:39:21
495508717,你抽烟,2017-04-11 00:38:31
542323568,表不表白宝贝,2017-04-11 00:34:46
554141229,全集多少集,2017-04-11 00:34:42
249968860,我看完了二十一集,2017-04-11 00:55:24
177677634,这就是结局了吗,2017-04-11 00:33:01
279659725,不是还有第二季,2017-04-11 07:41:40
366352959,才二十一集了 而且还没演到结局 很期待后面的 第二集赶紧开播！,2017-04-11 00:32:36
554140739,什么时候播第二季,2017-04-11 00:32:26
59964290,嘻嘻哈哈呵呵,2017-04-11 00:30:48
59964290,我来了,2017-04-11 00:30:39
59964290,哈哈哈哈哈哈,2017-04-11 00:30:31
305746894,我全剧都看完了,2017-04-11 00:29:45
387423329,什么剧啊,2017-04-11 05:21:26
175703056,去哪里看呀？？？第二季不是还没出？？,2017-04-11 00:46:50
479607053,超级好看,2017-04-11 00:27:50
479607053,太6了,2017-04-11 00:27:07
79404983,"早看完了，看完的赞我。等第二季中...
现在消息是5月4号第二季播出",2017-04-11 00:25:00
554139079,,2017-04-11 00:24:39
433601609,"男二咋比姜潮好看些 姜潮以前痞痞的 帅炸了
现在…………🌚",2017-04-11 00:23:11
15969955,遇到洁癖这么严重的上司，工作是的有多累心啊～,2017-04-11 00:22:42
176472590,什么时候播出第二季,2017-04-11 00:21:31
367417181,可以借vip不,2017-04-11 00:26:36
416031798,我有，找我,2017-04-11 00:49:27
403380958,可以,2017-04-11 00:21:28
434021425,是不是还有第二部呀都感觉故事没写完,2017-04-11 00:21:00
176472590,第二季快点出播吧,2017-04-11 00:19:43
544617325,太有感觉了[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙]帅帅帅,2017-04-11 00:19:33
554135773,好看，没有时间看，[强][强][强][强][强],2017-04-11 00:16:57
33995784,没法看啥结局，我都不知道怎么用语言表达了,2017-04-11 00:12:26
551920919,结局不好么？,2017-04-11 00:21:31
320215178,谁有ViP借我。[玫瑰],2017-04-11 00:11:31
416031798,我有 找我,2017-04-11 00:49:51
554135693,好看,2017-04-11 00:10:02
469831967,好期待第二季，希望快点播出来，时间间隔太久就期待感没有那么热烈了,2017-04-11 00:09:23
481333902,这,2017-04-11 00:04:49
399047701,快点出第二部吧,2017-04-11 00:04:20
19560221,呃,2017-04-11 00:02:27
542457166,喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。,2017-04-11 00:02:06
542457166,喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。喷嚏打的好假。,2017-04-11 00:01:49
542457166,哈欠打的好假,2017-04-11 00:01:24
552651123,第一二季什么时候更新。,2017-04-10 23:59:52
130252257,男主好帅,2017-04-10 23:58:20
19244723,女主是真邋遢😂,2017-04-10 23:57:52
436830097,完了完了，这电视太好看了，看其它电视都看不进去了，有重复看了，跟我一样心情的点个赞，好喜欢好喜欢,2017-04-10 23:57:23
545170291,女2号真的好丑,2017-04-10 23:57:01
135806986,求vip,2017-04-11 00:18:43
362659979,我有，可以找我，比开管房的便宜哦,2017-04-11 02:05:48
53307991,吃辣条的时候笑死了，哈哈,2017-04-10 23:55:34
20014690,这不是百年的新娘里面的片段吗,2017-04-10 23:51:59
175703056,不是，情节不太一样的,2017-04-11 00:48:54
535413363,亲，借用一下vip呗，谢谢,2017-04-10 23:51:19
325883434,这男主脸怎不正[尴尬],2017-04-10 23:50:37
113726492,台词好傻啊,2017-04-10 23:49:07
403711283,我是觉得姜潮长的还是挺帅的！嫌弃的人，看看自己长的有多美多帅吧！！！,2017-04-10 23:45:47
453151692,我路过就想问问第二季什么时候播放[疑问][疑问][疑问]，期待快点播放中……,2017-04-10 23:44:47
104120578,哈哈,2017-04-10 23:43:17
547837991,哈哈,2017-04-10 23:40:44
299400757,好期待,2017-04-10 23:38:09
66048306,不爱看,2017-04-10 23:37:55
279659725,不勉强。,2017-04-11 07:42:44
