书名,作者,豆瓣评分,简介
被占的宅子,"[阿根廷]
            胡利奥·科塔萨尔", 8.7 ,我们熟悉的世界仍有无数空洞，有待落笔描述。在科塔萨尔笔下，世界宛如一张折纸展开，内里的一重重奇遇让人目眩神迷。噩梦般的气息侵入老宅，居住其中的两人步步撤退，终于彻底逃离；乘电梯上二楼时，突然感觉要吐出一只兔子；遇见一个生活轨迹与自己酷似的男孩，由此窥见无尽轮回的一角……读过科塔萨尔的人，绝不会感到乏味。日常生活里每一丝微妙的体验，都像一场突如其来的即兴演奏，让你循着心底的直觉与渴望，抵达意想不到的终点。《被占的宅子》为科塔萨尔短篇全集第1辑，收录《彼岸》《动物寓言集》《游戏的终结》三部短篇集，其中《彼岸》为中文首次出版。《彼岸》轻灵可爱，《动物寓言集》别致精妙，《游戏的终结》深邃离奇，科塔萨尔说：“我想创作的是一种从未有人写过的短篇小说。”
北鸢,葛亮, 8.4 ,《北鸢》起笔于民国商贾世家子弟卢文笙的成长，收束于上世纪中叶。将波诡云谲的民国动荡史寄予两个家族的命运沉浮，书写中国最为丰盛起伏的断代。人生一线，恰似风筝。命运漂浮无着，人亦应有自己的主心骨。政客、军阀、寓公、文人、商人、伶人，书中上百位经典民国人物，进退于沧桑。群落交织，浑然磅礴。文笙在大时代的风云中辗转历练，且行且进，最终尘埃落定。每个人都有自己的来处，了解来处，才知道自己的去向。在故事的日常精微与家族兴颓里，藏着我们过去以及未来的影子。
斯通纳,"[美]
            约翰·威廉斯", 8.8 ,《斯通纳》讲述了生命中最重要的部分：爱，认同，怜悯，志业，傲骨，信任与死亡。一个勇者有过的失败不失意的人生：即使不能拥有完美的生活，所幸追求过完整的自我。美国，密苏里州。来自偏远农场的农家子弟、19岁的威廉·斯通纳进入州立密苏里大学学习农学。自一堂选修文学课为起点， 他的一生就此悄然改变。未来的斯通纳成为了一名大学老师，结婚、生子、教学、退休、衰老、死亡。在他生命的尽头，或许他可以坦然面对这个问题：你的一生，还要期望别的什么吗？一部蕴含着真诚、激情与紧凑力量的小说，探究了历史洪流所忽视的人性之间的冲突、溃败与幸存，重新唤起思考每个个体独特存在的意义。作者约翰·威廉斯向世人展示了凡人中的勇者在如何生活。----------------------------------------威廉斯的写作显得澄澈、节制却准确。就像被打磨光滑的橡木上反射出本色、持久的光泽。它的行文结构潜藏得不为人察觉，且毫无瑕疵，像一栋房子，精妙绝伦到绝无仿制再建的可能。《斯通纳》一书的伟大之处在于，它以不带一丝一毫悲喜的冷静洞察了生活本质的全部。它从本质上触及了预见期待的与真实体验的生活间的落差……《斯通纳》迟到五十年后畅销，是献给被亏欠的艺术一次迟来的正名。 ——《纽约客》斯通纳活过，然后死去，如你我一样。他生活中发生的每一件事就发生在你我面前，看似平淡。然而，写出这种“简单”却需要天才才能完成。读这本书是一本令人难过却又美妙的阅读体验。 ——《星期日泰晤士报》约翰·威廉斯的《斯通纳》刻画了一个将追求智识当作对抗无意义的战争、拒绝与外部世界作廉价妥协的人的一生。它的意义或许不只是一部伟大的小说——它简直是一部几近完美的小说，机构精巧，语言优美，故事动人，展示着一种夺人心魄的完美。 ——《纽约时报》一件文学的珍宝。 ——《明镜周刊》拥有超乎寻常的力量……直击生活的真相，语言清澈优美。它是一部献给所有热爱文学之人的传奇。 ——伊恩·麦克尤恩一本精彩绝伦的小说，既丰富又忧郁，记录着伤痛与失去的同时也留存了美好温柔的时刻。这本小说完美展现了小说艺术的要素，它的叙事节奏与情节构架均堪称完美无缺。这本小说像一条河流，冷静而又流畅的平静笔调裹挟着磅礴延绵的力量。 ——亚当·福尔兹
毒木圣经,"[美]
            芭芭拉·金索沃", 8.4 ,★《百年孤独》之后，你为这样一部小说等了多久？★既是饱满细腻的家庭史诗，又是磅礴锐利的历史寓言。发生在某时某地，却包罗万象。★我们都很无知，但并非真正无辜，人人都是共犯。★希拉里、奥普拉力荐，一部陪你一起呼吸、共同成长的“人生之书”：无论生活给予我什么，我必按我的心意去生活。★全球销量超过400万册；盘踞《今日美国》畅销榜137周，创下惊人纪录！★美国高中生“必读的26部经典”；美国公共图书馆“25部最有价值图书”；美国亚马逊“一生中必看的10 0部图书”；《纽约时报》《洛杉矶时报》“年度最佳图书”===================普莱斯牧师带着妻子和四个女儿从美国来到比属刚果，把种子、蛋糕粉和圣经带进了遍布毒木的丛林。牧师眼里，这里是一片蛮荒之地，满是需要救赎的灵魂。然而，他不但没能拯救那些“无知”的土著，反而将一家人拖入了危机四伏的动荡人生。一场惨剧悄然而至。他们要在生命的丛林里兜转挣扎多久，才能继续向前，步入光亮之中？《毒木圣经》以五位性格迥异的女性作为叙述者，将历史的洪流与人性的幽微交织，犹如一片绚烂神秘的森林，美丽凄切，令人震撼。===================★罕有一部作品能如此野心勃勃、富有魅力且大获成功。我们何其幸运，见证了《毒木圣经》的问世。——《华盛顿邮报》★一部震撼人心的史诗，作者用极其沉稳的笔触，抵达了极致的美丽。——《洛杉矶时报书评》
你一生的故事,"[美]
            特德·姜", 8.6 ,一瞥之下，过去与未来轰轰然同时并至，我的意识成为长达半个世纪的灰烬，时间未至已成灰。五十年诸般纷纭并发眼底，我的余生尽在其中。还有，你的一生。《你一生的故事》结集特德·姜早期的七篇作品：代表作《你一生的故事》、处女作《巴比伦塔》以及《领悟》、《除以零》、《七十二个字母 》、《人类科学之演变》、《地狱是上帝不在的地方》——一个语言学家学会了一门外星语言，彻底改变了她的世界观。过去、现在、未来，在她眼前同时展开。为了离上帝更近，人类伐木烧砖，拉车砌塔，经过无数个世代的辛劳，终于建成一座巍峨耸立于天地之间的通天塔。只要一小瓶药水，就能拥有超人智慧，这个诱惑无人能挡。可惜超人不止一个，荡气回肠的超人对决之后，领悟终极的智慧。任何数字除以零，都不会得出一个有意义的结果。两个人的感情除以零，结果是什么？在一个“名字驱动一切”的世界，命名师们玩转七十二个字母，寻找人类种族繁衍的密码。当人类的所有科学研究仅仅局限在解读后人类的科研成果时，这种研究是否还有存在的必要？妻子在天使下凡时去世，丈夫却必须学习如何热爱上帝，以便死后与妻子团聚。
解忧杂货店,"[日]
            东野圭吾", 8.6 ,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝症，年轻女孩静子在爱情与梦想间徘徊；克郎为了音乐梦想离家漂泊，却在现实中寸步难行；少年浩介面临家庭巨变，挣扎在亲情与未来的迷茫中……他们将困惑写成信投进杂货店，随即奇妙的事情竟不断发生。生命中的一次偶然交会，将如何演绎出截然不同的人生？如今回顾写作过程，我发现自己始终在思考一个问题：站在人生的岔路口，人究竟应该怎么做？我希望读者能在掩卷时喃喃自语：我从未读过这样的小说。——东野圭吾
百年孤独,"[哥伦比亚]
            加夫列尔·加西亚·马尔克斯", 9.2 ,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。
世界的凛冬,"[英]
            肯·福莱特", 9.3 ,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！火遍全球的20世纪人类史诗“世纪三部曲”第二部。美国《纽约时报》小说畅销榜第1名！加拿大书商协会畅销书排行榜第1名！德国小说类畅销书排行榜年度第1名！意大利小说类畅销排行榜年度第1名！西班牙《真理报》畅销书榜第1名！丹麦Bog & idé畅销书榜第1名！整个20世纪的吉光片羽，都被肯•福莱特写进了这部伟大的小说里。一切都始于那个裂变中的大时代——希特勒上台，爱德华八世退位，原子弹在广岛和长崎爆炸……世界剧烈改变，我该怎么办？这正是他们的困惑——一群处于人生黄金时代的少男少女，来自德国、美国、英国、苏俄和威尔士的五大家族，他们父辈的命运因一战而彻底改变。如今，世界再次破碎，甚至更加暴烈和残酷。然而，这就是他们的时代！在时间的永恒流动中，每个人都在创造历史。所以，为什么不一起来，会一会命运？
巨人的陨落,"[英]
            肯·福莱特", 9.0 ,在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴情的德国特工… 从充满灰尘和危险的煤矿到闪闪发光的皇室宫殿，从代表着权力的走廊到爱恨纠缠的卧室，五个家族迥然不同又纠葛不断的命运逐渐揭晓，波澜壮阔地展现了一个我们自认为了解，但从未如此真切感受过的20世纪。
二手时间,S·A·阿列克谢耶维奇, 8.9 ,2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文学作品（2014）、波兰卡普钦斯基报告文学奖（2015）本书是白俄罗斯著名作家阿列克谢耶维奇最新作品，通过口述采访的形式，展现身处关键历史时刻的普通人的生活。本书讲述了苏联解体后，1991年到2012年二十年间的痛苦的社会转型中，俄罗斯普通人的生活，为梦想破碎付出的代价。在书中，从学者到清洁工，每个人都在重新寻找生活的意义。他们的真实讲述同时从宏观和微观上呈现出一个重大的时代，一个社会的变动，为这一段影响深远的历史赋予了人性的面孔。苏联解体已逾二十年，俄罗斯人重新发现了世界，世界也重新认识了俄罗斯。新一代已经成长起来，他们的梦想已不再关乎梦想，不再像90年代他们的父辈，关心信仰。二十年来，人们看了崭新的俄罗斯，但她却早已不是任何人曾经梦想过的俄罗斯了。作者追溯了苏联和苏联解体之后的历史过程，让普通的小人物讲述他们自己的故事，从而展现出身处历史的转折，以及人们如何追寻信仰、梦想，如何诉说秘密和恐惧，让人们重新思考什么是“俄罗斯”和“俄罗斯人”，为什么他们无法适应急剧的现代化，为什么再近两百年之后，依然与欧洲相隔。本书分为上下两部分，采访了生长于理想之下的俄罗斯人和今天的俄罗斯人，以及阿塞拜疆等前苏联国家的普通人，呈现他们的生活细节，所感所想。德国媒体盛赞该书撷取的是最为细小的马赛克，却拼出了一幅完整的后苏联时代图景。“一部20世纪后半叶的微观俄国史，笔力直抵普京时代。”
追风筝的人,"[阿富汗]
            卡勒德·胡赛尼", 8.8 ,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？故事如此残忍而又美丽，作者以温暖细腻的笔法勾勒人性的本质与救赎，读来令人荡气回肠。
恋情的终结,"[英]
            格雷厄姆·格林", 8.3 ,二战期间的英国伦敦，作家莫进而斯和公务员的妻子萨拉，一对婚外恋人，被飞来的炮弹中断的了恋情，它击昏了莫里斯，也激活了萨拉心中潜在的天主教信仰。萨拉向天主祷告：要以远离情人的方式来远离罪愆，以此保全莫里斯的性命。萨拉不辞而别，莫里斯不知就里，妒恨交加地度过了两年。因怀疑她另有新欢，莫里斯请私人侦探调查，结果从萨拉的日记中得知她一直爱他，只是出于对天主的许诺和敬畏才离开他。追悔之余，他提出要和萨拉私奔，开始新生活。此时萨拉已最终皈依天主教，没有答应他，并在不久后患病去世。天主从莫里斯身边夺走了萨拉，莫里斯怀复杂而抗拒的心情面对萨拉死后她的祷告一一应验的事实。《恋情的终结》是英国作家格雷厄姆·格林最具自传性质的小说。嫉妒的情人，无能的丈夫，捉摸不定的妻子，这样的三角关系看起来似乎颇为老套，但与一般的爱情小说不同，这部小说并非仅仅讲述红尘中的男女之情，而是在本德里克斯跟踪萨拉的过程中，探讨爱自己、爱他人和爱信仰这三种单纯而基本的感情。
1984,"[英]
            乔治·奥威尔", 9.3 ,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的100本英语小说”★兰登书屋“100本20世纪最佳英语小说”★入选英美中学生必读书书目1936年以来，我所写的每一部严肃作品，都是直接或间接地反对极权主义，支持我所理解的民主社会主义。                             ——乔治•奥威尔（《我为何写作》）《1984》是一部杰出的政治寓言小说，也是一部幻想小说。作品刻画了人类在极权主义社会的生存状态，有若一个永不退色的警示标签，警醒世人提防这种预想中的黑暗成为现实。历经几十年，其生命力益显强大，被誉为20世纪影响最为深远的文学经典之一。
新名字的故事,"[意]
            埃莱娜·费兰特", 9.2 ,只有你身为女人 才会知道这些丑陋的秘密两个女人 50年的友谊和战争如何成为那个更强大的她，又不被她战胜那不勒斯四部曲NO.2《我的天才女友》后续， 意大利最神秘的作家费兰特探索青年时代的激情、困惑、挣扎、背叛和失去全球畅销近千万册 被翻译成40多种语言希拉 里·克林顿、 乔纳森·弗兰岑、詹姆斯·伍德、詹姆斯·弗兰科都是她的粉丝-------------------------《新名字的故事》是埃莱娜·费兰特的“那不勒斯四部曲”的第二部，描述了埃莱娜和莉拉的青年时代。在她们的人生以最快的速度急遽分化的那些年里，她们共同体验了爱、失去、困惑、挣扎、嫉妒和隐蔽的破坏。莉拉在结婚当天就发现婚姻根本不是她想象的那样，她的初夜几乎是一场强奸。她带着一种强大的破坏欲介入了斯特凡诺的家族生意，似乎成为了她和埃莱娜小时候都想成为的那种女人。久未有身孕的莉拉，和埃莱娜去海边度假休养。而在伊斯基亚岛的那个夏天，改变了所有人的一生……出于对莉拉所拥有的爱情的愤怒，“我”（埃莱娜）奋力摆脱这个破败、暴力、充满宿仇的街区。“我”成了街区的第一个大学生，并和一个高级知识分子家庭的男孩订婚，甚至出版了第一本小说。“我”以胜利者的形象回到那不勒斯，却发现告别了丑陋婚姻的莉拉，在一家肉食加工厂备受屈辱地打工。当“我”发现自己的小说，其实完全窃取了莉拉交托给“我”的秘密笔记本里那些独特的力量和灵感，“我”被迫面临一个极度痛苦的问题：“我”和莉拉，到底谁离开了，又是谁留下了？--------------------------------无论是生活还是小说中，一段友谊里，更强大、性格更丰富的那个人会让软弱的那个人的形象变得模糊。但是在埃莱娜和莉拉的关系中，处于弱势的埃莱娜，从自身的从属位置中获得了某种才智——那让莉拉失去了方向，心晕目眩。这种过程很难描述，但也正是这一点让我着迷。可以这么说：在莉拉和埃莱娜的生命中，有很多事件显示了一个人如何从另一人身上汲取力量。但要记住这一点：这不仅表现在她们帮助彼此的层面上，同样也体现为她们互相洗劫，从对方身上窃取情感和知识，消耗对方的力量。——埃莱娜•费兰特答意大利《晚邮报》采访（2011）那不勒斯四部曲精彩而又持久地探索了嫉妒——这种最为致命的情感，因它有时候会将自己伪装成爱。——《纽约书评》关于女性友谊和命运的意大利史诗……在荷马和奥维德之后，我们第一次有了一个女性史诗作者。——《大西洋月刊》费兰特的行文如此清澈，她的叙述如此率真，摄人心魄，引人入胜。——《经济学人》对于费兰特而言，小说的首要目的，就是就搅动那些感染的、敞开的伤口，捅开它，让你意识到自己的伤口在哪里，这伤口又从何而来。——《洛杉矶书评》埃莱娜必须挣脱她从小要面对的那些令人难以忍受的价值，抵抗世俗意义上的成功的诱惑，并从莉拉身上获得知识和力量，却又不能被她压倒……现代小说中对友谊最丰富的描写。——NPR每个人都应该看有埃莱娜·费兰特署名的任何文字。——《波士顿环球报》
